"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1722-10","USD","1722-10-1","Jd. Marina","1","63248"
"1726-10","USD","1726-10-0","Metrô Santana","0","52429"
"1726-10","USD","1726-10-1","Cem. Pq. Dos Pinheiros","1","64708"
"172J-10","USD","172J-10-0","Tatuapé","0","63374"
"172J-10","USD","172J-10-1","Jd. Brasil","1","63371"
"172K-10","USD","172K-10-0","Metrô Tatuapé","0","63523"
"172K-10","USD","172K-10-1","Jd. Tremembé","1","59869"
"172N-10","USD","172N-10-0","Metrô Belém","0","60354"
"172N-10","USD","172N-10-1","Shop. Center Norte","1","60355"
"172N-21","U__","172N-21-0","Metrô Belém","0","60359"
"172N-22","U__","172N-22-0","Metrô Belém","0","60360"
"172P-10","USD","172P-10-0","Metrô Belém","0","53714"
"172P-10","USD","172P-10-1","Vl. Zilda","1","53715"
"172R-10","USD","172R-10-0","Metrô Belém","0","62871"
"172R-10","USD","172R-10-1","Jaçanã","1","63503"
"172U-10","USD","172U-10-0","Mooca","0","63524"
"172U-10","USD","172U-10-1","Cem. Pq. Dos Pinheiros","1","53681"
"172X-10","USD","172X-10-0","Metrô Tatuapé","0","64238"
"172X-10","USD","172X-10-1","Pq. Novo Mundo","1","56560"
"172Y-10","USD","172Y-10-0","Metrô Belém","0","64493"
"172Y-10","USD","172Y-10-1","Vl. Constança","1","64494"
"1730-10","USD","1730-10-0","Santana","0","62161"
"1732-10","USD","1732-10-0","Term. Amaral Gurgel","0","59676"
"1732-10","USD","1732-10-1","Vl. Sabrina","1","59677"
"1738-10","USD","1738-10-0","Metrô Santana","0","56833"
"1738-10","USD","1738-10-1","Vl. Constança","1","56835"
"1741-10","USD","1741-10-0","Metrô Santana","0","63387"
"1741-10","USD","1741-10-1","Vl. Dionisia","1","63388"
"1742-10","USD","1742-10-0","Metrô Santana","0","61013"
"1742-10","USD","1742-10-1","Jd. Antártica","1","61014"
"1743-10","USD","1743-10-0","Shop. D","0","63641"
"1743-10","USD","1743-10-1","Jd. Pery Alto","1","63642"
"1744-10","USD","1744-10-0","Metrô Santana","0","63926"
"1744-10","USD","1744-10-1","Lauzane Paulista","1","63927"
"1745-10","USD","1745-10-0","Shop. Center Norte","0","52653"
"1745-10","USD","1745-10-1","Vl.nova Cachoeirinha","1","52654"
"174M-10","USD","174M-10-0","Museu Do Ipiranga","0","60840"
"174M-10","USD","174M-10-1","Vl. Sabrina","1","62633"
"1756-10","USD","1756-10-0","Metrô Santana","0","62169"
"1756-10","USD","1756-10-1","Pedra Branca","1","64709"
"1757-10","US_","1757-10-0","Metrô Santana - Circular","0","56298"
"1758-10","USD","1758-10-0","Metrô Santana","0","61018"
"1758-10","USD","1758-10-1","Jd. Antártica","1","53039"
"1759-10","USD","1759-10-0","Metrô Santana","0","56301"
"1759-10","USD","1759-10-1","Jd. Pery","1","53044"
"175P-10","USD","175P-10-0","Ana Rosa","0","60972"
"175P-10","USD","175P-10-1","Metrô Santana","1","60973"
"175T-10","USD","175T-10-0","Metrô Jabaquara","0","64701"
"175T-10","USD","175T-10-1","Metrô Santana","1","61848"
"1760-10","USD","1760-10-0","Shop. Center Norte","0","52383"
"1760-10","USD","1760-10-1","Cohab Antártica","1","52384"
"1764-10","USD","1764-10-0","Metrô Santana","0","53087"
"1764-10","USD","1764-10-1","Jd. Corisco","1","64789"
"1765-10","USD","1765-10-0","Metrô Tucuruvi","0","53093"
"1765-10","USD","1765-10-1","Jd. Cabuçu","1","53094"
"1767-10","USD","1767-10-0","Metrô Tucuruvi","0","53164"
"1767-10","USD","1767-10-1","Pq. Edú Chaves","1","53165"
"1771-10","US_","1771-10-0","Metrô Santana","0","62774"
"1771-10","US_","1771-10-1","Jd. Fontális","1","53097"
"1772-10","USD","1772-10-0","Metrô Tucuruvi","0","64645"
"1772-10","USD","1772-10-1","Jd. Filhos Da Terra","1","63746"
"1773-10","USD","1773-10-0","Mandaqui","0","53419"
"1773-10","USD","1773-10-1","Cem. Pq. Dos Pinheiros","1","53420"
"1775-10","USD","1775-10-0","Shop. Center Norte","0","63175"
"1775-10","USD","1775-10-1","Vl. Albertina","1","52652"
"1778-10","USD","1778-10-0","Metrô Santana","0","64722"
"177H-10","US_","177H-10-0","Cid. Universitária","0","63419"
"177H-10","US_","177H-10-1","Metrô Santana","1","63420"
"177Y-10","USD","177Y-10-0","Pinheiros","0","63736"
"177Y-10","USD","177Y-10-1","Metrô Barra Funda","1","63737"
"1780-10","USD","1780-10-0","Term. Parada Inglesa","0","53790"
"1780-10","USD","1780-10-1","Jd. Hebron","1","64331"
"1782-10","USD","1782-10-0","Metrô Santana","0","64672"
"1783-10","USD","1783-10-0","Metrô Santana","0","53529"
"1783-10","USD","1783-10-1","Cachoeira","1","53530"
"1783-22","U__","1783-22-0","Metrô Santana","0","53535"
"1783-41","U__","1783-41-0","Metrô Parada Inglesa","0","64322"
"1783-41","U__","1783-41-1","Jd. Labitary","1","54652"
"1785-10","USD","1785-10-0","Metrô Santana","0","53326"
"1785-10","USD","1785-10-1","Vl. Aurora","1","53327"
"1786-10","USD","1786-10-0","Metrô Santana","0","63717"
"1786-10","USD","1786-10-1","Vl. Albertina","1","63718"
"1787-10","USD","1787-10-0","Metrô Santana","0","53546"
"1787-10","USD","1787-10-1","Vl. Marieta","1","53547"
"1788-10","USD","1788-10-0","Metrô Santana","0","64788"
"1788-10","USD","1788-10-1","Jd. Fontális","1","64787"
"1788-51","U__","1788-51-0","Metrô Santana","0","54657"
"1788-51","U__","1788-51-1","Jd. Campo Limpo","1","54658"
"178A-10","USD","178A-10-0","Lapa","0","65002"
"178A-10","USD","178A-10-1","Metrô Santana","1","65003"
"178L-10","USD","178L-10-0","Hosp. Das Clínicas","0","63915"
"178L-10","USD","178L-10-1","Lauzane Paulista","1","53424"
"178T-10","USD","178T-10-0","Ceasa","0","60983"
"178T-10","USD","178T-10-1","Metrô Santana","1","60984"
"178Y-10","USD","178Y-10-0","Metrô Jd. São Paulo","0","63375"
"178Y-10","USD","178Y-10-1","Vl. Amélia","1","63376"
"178Y-21","U__","178Y-21-0","Metrô Jd. São Paulo","0","53796"
"178Y-21","U__","178Y-21-1","Conj. Dos Bancários","1","56678"
"179X-10","USD","179X-10-0","Metrô Barra Funda","0","58931"
"179X-10","USD","179X-10-1","Jd. Fontális","1","58932"
"1896-10","USD","1896-10-0","Pça. Ramos De Azevedo","0","64840"
"1896-10","USD","1896-10-1","Jaraguá","1","64841"
"189L-10","USD","189L-10-0","Lapa","0","63527"
"189L-10","USD","189L-10-1","Conexão Vl. Iório","1","63528"
"199D-10","USD","199D-10-0","Term. Pinheiros","0","57748"
"199D-10","USD","199D-10-1","Conexão Vl. Iório","1","57749"
"2002-10","USD","2002-10-0","Term. Bandeira","0","58664"
"2004-10","USD","2004-10-0","Cptm Guaianazes","0","52380"
"2004-10","USD","2004-10-1","Jd. Nsa. Sra. Do Caminho","1","63432"
"2005-10","USD","2005-10-0","São Miguel","0","60783"
"2006-10","USD","2006-10-0","Cptm Itaim Paulista","0","57176"
"2006-10","USD","2006-10-1","Cid. Kemel I","1","57177"
"2007-10","USD","2007-10-0","Cptm Itaim Paulista","0","61824"
"2007-10","USD","2007-10-1","Cid. Kemel Ii","1","61825"
"2008-10","USD","2008-10-0","Cptm Itaim Paulista","0","52774"
"2008-10","USD","2008-10-1","Jd. Nsa. Sra. Do Caminho","1","52775"
"2009-10","USD","2009-10-0","Cptm Guaianazes","0","64506"
"2009-10","USD","2009-10-1","Jd. Robru","1","64507"
"2010-10","USD","2010-10-0","Shop. D","0","64158"
"2010-10","USD","2010-10-1","Pq. Edu Chaves","1","64159"
"2010-21","U__","2010-21-0","Metrô Santana","0","53567"
"2011-10","USD","2011-10-0","Metrô Santana","0","62249"
"2011-10","USD","2011-10-1","Vl. Sabrina","1","62250"
"2012-10","US_","2012-10-0","Metrô Tietê","0","60787"
"2013-10","USD","2013-10-0","Cachoeirinha","0","61144"
"2013-10","USD","2013-10-1","Cohab Antártica","1","61183"
"2014-10","USD","2014-10-0","Metrô Barra Funda","0","58921"
